date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:24	2901/2901	---M-Z	200	added ('OK')	text/html	etag:%22b55-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/16.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/16.html	(from http://koeln.ccc.de/archiv/cyphernomicon/cyphernomicon.contents.html)
20:07:24	1514/1514	---M-Z	200	added ('OK')	text/html	etag:%225ea-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/17.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/17.html	(from http://koeln.ccc.de/archiv/cyphernomicon/cyphernomicon.contents.html)
20:07:24	1821/1821	---M-Z	200	added ('OK')	text/html	etag:%2271d-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/18.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/18.html	(from http://koeln.ccc.de/archiv/cyphernomicon/cyphernomicon.contents.html)
20:07:25	1107/1107	---M-Z	200	added ('OK')	text/html	etag:%22453-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/19.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/19.html	(from http://koeln.ccc.de/archiv/cyphernomicon/cyphernomicon.contents.html)
20:07:25	964/964	---M-Z	200	added ('OK')	text/html	etag:%223c4-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/20.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/20.html	(from http://koeln.ccc.de/archiv/cyphernomicon/cyphernomicon.contents.html)
20:07:25	726/726	---M-Z	200	added ('OK')	text/html	etag:%222d6-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.1.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.1.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:25	7290/7290	---M-Z	200	added ('OK')	text/html	etag:%221c7a-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.2.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.2.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:26	2321/2321	---M-Z	200	added ('OK')	text/html	etag:%22911-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.3.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.3.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:26	1485/1485	---M-Z	200	added ('OK')	text/html	etag:%225cd-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.4.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.4.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:26	3939/3939	---M-Z	200	added ('OK')	text/html	etag:%22f63-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.5.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.5.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:26	4078/4078	---M-Z	200	added ('OK')	text/html	etag:%22fee-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.6.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.6.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:27	903/903	---M-Z	200	added ('OK')	text/html	etag:%22387-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.7.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.7.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:27	896/896	---M-Z	200	added ('OK')	text/html	etag:%22380-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.8.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.8.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:27	1229/1229	---M-Z	200	added ('OK')	text/html	etag:%224cd-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.9.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.9.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:28	1838/1838	---M-Z	200	added ('OK')	text/html	etag:%2272e-3abd05920c8c0-gzip%22	http://koeln.ccc.de/archiv/cyphernomicon/chapter1/1.10.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/chapter1/1.10.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
20:07:28	313/313	---M--	403	error ('Forbidden')	text/html	date:Thu,%2011%20Feb%202016%2018:07:29%20GMT	http://koeln.ccc.de/archiv/cyphernomicon/.html	C:/Users/Utku%20T/Desktop/cypher/Cyphernomicon/koeln.ccc.de/archiv/cyphernomicon/.html	(from http://koeln.ccc.de/archiv/cyphernomicon/1.html)
